Organization,Device,Group,Activity,Description,User,Date
Hospitality,3-1788,Software Patching,Software Patch Scan Complete,"Software Updates Scan Complete : Approved: 1, Rejected: 11, Pending approval: 1",,2025-07-28T11:21:49.184+0000
Hospitality,3-1323,OS Patching,OS Patching Warning,"After applying patches, there are still outstanding approved patches. Please take appropriate action. APPROVED Windows 11, version 24H2",,2025-07-28T11:20:46.000+0000
Slifer,DESKTOP-2EK11C2,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T11:21:13.000+0000
Slifer,DESKTOP-2EK11C2,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T11:21:03.000+0000
Hospitality,3-2509,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T11:21:08.000+0000
Hospitality,3-1186,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T11:21:11.000+0000
Hospitality,3-2177,Software Patching,Software Patch Scan Complete,"Software Updates Scan Complete : Approved: 2, Rejected: 11, Pending approval: 1",,2025-07-28T11:21:19.588+0000
Hospitality,3-1785,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T11:19:05.000+0000
Hospitality,3-1788,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T11:20:39.000+0000
Hospitality,3-2116,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T11:20:25.000+0000
Slifer,Janice Beemer Laptop,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T11:19:08.000+0000
Hospitality,3-1816,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T11:20:50.000+0000
Hospitality,3-1816,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T11:20:09.000+0000
Hospitality,3-1340,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T11:20:28.000+0000
Hospitality,3-1340,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T11:20:08.000+0000
Hospitality,3-1323,OS Patching,OS Patching Apply Patch Complete,Patch management update is complete.,,2025-07-28T11:20:45.000+0000
Infrastructure,VSNOSVR-NAS,OS Patching,OS Patching Warning,OS patch download error. Patch download failed: -3005.,,2025-07-28T11:19:54.000+0000
Hospitality,3-1788,OS Patching,OS Patching Apply Patch Started,Patch management update has started.,,2025-07-28T11:20:16.285+0000
Hospitality,3-1353,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T11:19:18.000+0000
Hospitality,3-1788,Software Patching,Software Patch Scan Started,Patch management scan has started.,,2025-07-28T11:20:14.351+0000
Hospitality,3-2116,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T11:20:05.000+0000
Hospitality,3-1513,Software Patching,Software Patch Scan Started,Patch management scan has started.,,2025-07-28T11:19:59.000+0000
Hospitality,3-1433,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T11:19:18.000+0000
Hospitality,3-1433,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T11:19:08.000+0000
Hospitality,3-1601,Hardware,Network Adapter Status Changed,Network Adapter Status changed:  InterfaceName : 'Intel(R) Ethernet Connection (14) I219-LM' InterfaceIndex : 17 Status changed : 'Dormant' -> 'Up',,2025-07-28T11:18:42.000+0000
Hospitality,VSNO-DOF3,Software Patching,Software Patch Scan Started,Patch management scan has started.,,2025-07-28T11:19:32.000+0000
Hospitality,3-1769,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T11:19:24.000+0000
Hospitality,3-1769,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T11:19:09.000+0000
Hospitality,MOWWESTIN1,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T11:18:42.000+0000
Hospitality,3-1814,Software,Software Removed,"Software uninstalled: 'Microsoft Windows Desktop Runtime - 8.0.17 (x64)', Version: '8.0.17.34917', User: '<System>'",,2025-07-28T11:08:39.000+0000
Infrastructure,VSNOSVR-NAS,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T11:18:33.000+0000
Hospitality,3-1353,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T11:19:02.000+0000
Hospitality,FITNESS-FD,Hardware,Network Adapter Added,"Network Adapter added: 'Microsoft Wi-Fi Direct Virtual Adapter #3', MacAddress: 'B6:4B:D6:25:B8:60', IPAddress: '169.254.42.14;fe80::2e6b:606d:5fe6:d7c3', InstallDate: '2025-07-28T11:18:38Z'",,2025-07-28T11:18:38.000+0000
Slifer,2-1209,OS Patching,OS Patching Warning,"After applying patches, there are still outstanding approved patches. Please take appropriate action. APPROVED Windows 11, version 24H2",,2025-07-28T11:18:50.000+0000
Hospitality,3-1785,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T11:18:40.000+0000
Hospitality,3-2005,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T11:18:51.000+0000
Hospitality,3-2005,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T11:12:24.000+0000
Hospitality,3-2005,Software,Software Updated,"Software updated: 'SpotifyAB.SpotifyMusic', Version: '1.268.528.0', User: '<System>'",,2025-07-28T11:12:13.000+0000
Hospitality,3-1991,Hardware,Network Adapter Status Changed,Network Adapter Status changed:  InterfaceName : 'Realtek USB GbE Family Controller' InterfaceIndex : 17 Status changed : 'Down' -> 'Up',,2025-07-28T11:17:47.000+0000
Hospitality,3-1991,Software,Software Updated,"Software updated: 'MSTeams', Version: '25185.410.3812.8024', User: '<System>'",,2025-07-28T11:17:46.000+0000
Slifer,2-1209,OS Patching,OS Patching Apply Patch Complete,Patch management update is complete.,,2025-07-28T11:18:52.000+0000
Slifer,1-1043 (SSF Snowmass Large Touchscreen),OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T11:18:22.000+0000
Slifer,1-1043 (SSF Snowmass Large Touchscreen),OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T11:18:07.000+0000
Slifer,2-1247,OS Patching,OS Patching Apply Patch Complete,Patch management update is complete.,,2025-07-28T11:16:11.000+0000
Hospitality,EWHITELAPTOP,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T11:12:51.000+0000
Hospitality,EWHITELAPTOP,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T10:59:05.000+0000
Hospitality,3-1437,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T11:18:21.000+0000
Hospitality,3-1437,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T11:18:06.000+0000
Hospitality,MOWWESTIN1,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T11:18:07.000+0000
Hospitality,3-2071,Software Patching,Software Patch Scan Started,Patch management scan has started.,,2025-07-28T11:18:21.569+0000
Hospitality,3-1533,Software,Software Removed,"Software uninstalled: 'Microsoft Windows Desktop Runtime - 8.0.11 (x86)', Version: '8.0.11.34221', User: '<System>'",,2025-07-28T11:07:36.000+0000
Slifer,2-1335,OS Patching,OS Patching Apply Patch Complete,Patch management update is complete.,,2025-07-28T11:17:52.000+0000
Hospitality,3-2119,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T11:17:33.000+0000
Hospitality,3-2119,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T11:17:08.000+0000
Slifer,Erin Pearson Thinkpad SSF Lionshead,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T11:17:18.000+0000
Hospitality,3-1765,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T11:17:20.000+0000
Hospitality,3-1765,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T11:17:09.000+0000
